Identifier,Name,Parent,Area/Region,Section,Metres,Feet,Latitude,Longitude,Ascent,Notes
238,Ben Starav,,Glen Etive to Glen Lochy,3C,1079.5,3542,56.538922,-5.049748,19/08/2020,
191,Bidean nam Bian,,Loch Linnhe to Loch Etive,3B,1149.4,3771,56.642759,-5.029335,19/08/2020,
209,Buachaille Etive Beag - Stob Coire Raineach,,Loch Linnhe to Loch Etive,3B,924.5,3033,56.649895,-4.951601,19/08/2020,
202,Buachaille Etive Beag - Stob Dubh,,Loch Linnhe to Loch Etive,3B,958,3143,56.638159,-4.970747,19/08/2020,
196,Buachaille Etive Mor - Stob Dearg,,Loch Linnhe to Loch Etive,3B,1021.4,3351,56.646228,-4.900377,19/08/2020,
203,Buachaille Etive Mor - Stob na Broige,,Loch Linnhe to Loch Etive,3B,953.4,3128,56.629879,-4.951162,19/08/2020,
235,Creise,,Glen Etive to Glen Lochy,3C,1099.8,3608,56.614448,-4.871987,19/08/2020,
245,Glas Bheinn Mhor,,Glen Etive to Glen Lochy,3C,997.7,3273,56.542434,-5.005252,19/08/2020,
233,Meall a' Bhuiridh,,Glen Etive to Glen Lochy,3C,1107.9,3635,56.612216,-4.852159,19/08/2020,
258,Meall nan Eun,,Glen Etive to Glen Lochy,3C,928.1,3045,56.561176,-4.942926,,
199,Sgurr na h-Ulaidh,,Loch Linnhe to Loch Etive,3B,994,3261,56.619804,-5.080061,,
255,Stob a' Choire Odhair,,Glen Etive to Glen Lochy,3C,945,3100,56.573308,-4.838302,19/08/2020,
241,Stob Coir' an Albannaich,,Glen Etive to Glen Lochy,3C,1044.9,3428,56.554903,-4.979809,,
194,Stob Coire Sgreamhach,,Loch Linnhe to Loch Etive,3B,1072,3517,56.638314,-5.010284,,
244,Stob Daimh,,Glen Etive to Glen Lochy,3C,999.2,3278,56.431336,-5.091319,,
237,Stob Ghabhar,,Glen Etive to Glen Lochy,3C,1089.2,3573,56.568103,-4.882099,19/08/2020,
303,Am Bodach,,Fort William to Loch Treig & Loch Leven,4A,1031.8,3385,56.74173,-4.98337,19/08/2020,
312,An Gearanach,,Fort William to Loch Treig & Loch Leven,4A,981.5,3220,56.759172,-4.96623,19/08/2020,
279,Aonach Beag,,Fort William to Loch Treig & Loch Leven,4A,1234,4049,56.799998,-4.954138,,
347,Aonach Beag,,Loch Treig to Loch Ericht,4B,1115.8,3661,56.833498,-4.529175,,
281,Aonach Mor,,Fort William to Loch Treig & Loch Leven,4A,1220.4,4004,56.812941,-4.961712,,
349,Beinn a' Chlachair,,Loch Treig to Loch Ericht,4B,1087.8,3569,56.869534,-4.509668,19/08/2020,
354,Beinn Bheoil,,Loch Treig to Loch Ericht,4B,1019,3343,56.813267,-4.430662,,
348,Beinn Eibhinn,,Loch Treig to Loch Ericht,4B,1103.3,3620,56.825255,-4.542077,,
364,Beinn na Lap,,Loch Treig to Loch Ericht,4B,935,3068,56.78939,-4.659977,,
345,Ben Alder,,Loch Treig to Loch Ericht,4B,1148,3766,56.813796,-4.465089,,
278,Ben Nevis,,Fort William to Loch Treig & Loch Leven,4A,1344.53,4411,56.796891,-5.003675,?,
320,Binnein Beag,,Fort William to Loch Treig & Loch Leven,4A,943,3094,56.766961,-4.911161,,
287,Binnein Mor,,Fort William to Loch Treig & Loch Leven,4A,1130,3707,56.754376,-4.925796,,
352,Carn Dearg,,Loch Treig to Loch Ericht,4B,1034,3392,56.855242,-4.454693,19/08/2020,
363,Carn Dearg,,Loch Treig to Loch Ericht,4B,941,3087,56.759922,-4.589888,,
282,Carn Mor Dearg,,Fort William to Loch Treig & Loch Leven,4A,1220,4003,56.805246,-4.986616,19/08/2020,
351,Chno Dearg,,Loch Treig to Loch Ericht,4B,1046,3432,56.830077,-4.66083,20/04/2025,With Jo. 
367,Creag Pitridh,,Loch Treig to Loch Ericht,4B,924.5,3033,56.899712,-4.484972,19/08/2020,
350,Geal Charn,,Loch Treig to Loch Ericht,4B,1049.7,3444,56.897763,-4.457236,19/08/2020,
346,Geal-charn,,Loch Treig to Loch Ericht,4B,1132,3714,56.837827,-4.509693,,
321,Mullach nan Coirean,,Fort William to Loch Treig & Loch Leven,4A,939.3,3082,56.749866,-5.072446,19/08/2020,
301,Na Gruagaichean,,Fort William to Loch Treig & Loch Leven,4A,1054.3,3459,56.743699,-4.939851,,
361,Sgor Gaibhre,,Loch Treig to Loch Ericht,4B,954.7,3132,56.772544,-4.546498,,
295,Sgurr a' Mhaim,,Fort William to Loch Treig & Loch Leven,4A,1099,3606,56.75592,-5.00369,19/08/2020,
296,Sgurr Choinnich Mor,,Fort William to Loch Treig & Loch Leven,4A,1094,3589,56.80043,-4.90396,,
305,Sgurr Eilde Mor,,Fort William to Loch Treig & Loch Leven,4A,1010,3314,56.750006,-4.895435,19/08/2020,
292,Stob a' Choire Mheadhoin,,Fort William to Loch Treig & Loch Leven,4A,1105,3625,56.823684,-4.760199,,
309,Stob Ban,,Fort William to Loch Treig & Loch Leven,4A,999.7,3280,56.743706,-5.030328,19/08/2020,
314,Stob Ban,,Fort William to Loch Treig & Loch Leven,4A,977,3205,56.810656,-4.840877,19/08/2020,
285,Stob Choire Claurigh,,Fort William to Loch Treig & Loch Leven,4A,1177,3862,56.823786,-4.849624,,
313,Stob Coire a' Chairn,,Fort William to Loch Treig & Loch Leven,4A,981.3,3219,56.750756,-4.968985,19/08/2020,
