Identifier,Name,Parent,Area/Region,Section,Metres,Feet,Latitude,Longitude,Ascent,Notes
249,Beinn Eunaich,,Glen Etive to Glen Lochy,3C,989,3245,56.450352,-5.026639,,
823,Beinn Fhada,,Loch Duich to Cannich,11A,1031.9,3385,57.221002,-5.283519,x,
201,Beinn Fhionnlaidh,,Loch Linnhe to Loch Etive,3B,959,3146,56.600978,-5.104749,x,
826,Beinn Fhionnlaidh,,Loch Duich to Cannich,11A,1004.8,3297,57.305977,-5.129909,x,
144,Beinn Ghlas,,Glen Lyon to Glen Dochart & Loch Tay,2B,1103,3619,56.535996,-4.236992,x,
68,Beinn Ime,,Inveraray to Crianlarich,1D,1012.2,3321,56.236794,-4.817125,x,
425,Beinn Iutharn Mhor,,Pitlochry to Braemar & Blairgowrie,6B,1045,3428,56.894994,-3.568229,x,
983,Beinn Liath Mhor,,Applecross to Achnasheen,13B,926,3038,57.512073,-5.400633,x,
1046,Beinn Liath Mhor Fannaich,,The Fannaichs,14B,954.2,3131,57.706095,-4.989775,x,
122,Beinn Mhanach,,Loch Rannoch to Glen Lyon,2A,952.5,3125,56.534032,-4.646042,,
531,Beinn Mheadhoin,,Cairngorms,8A,1182.9,3881,57.095849,-3.611464,x,
364,Beinn na Lap,,Loch Treig to Loch Ericht,4B,935,3068,56.78939,-4.659977,,
254,Beinn nan Aighenan,,Glen Etive to Glen Lochy,3C,959,3146,56.520349,-5.011178,,
74,Beinn Narnain,,Inveraray to Crianlarich,1D,926.8,3041,56.220956,-4.789003,x,
695,Beinn Sgritheall,,Glen Shiel to Loch Hourn and Loch Quoich,10A,974,3196,57.153815,-5.579727,x,
207,Beinn Sgulaird,,Loch Linnhe to Loch Etive,3B,937,3074,56.56624,-5.170399,,
145,Beinn Sheasgarnaich,,Glen Lyon to Glen Dochart & Loch Tay,2B,1077.4,3535,56.510254,-4.579217,,
1019,Beinn Tarsuinn,,Loch Maree to Loch Broom,14A,933.8,3064,57.702051,-5.291634,,
675,Beinn Teallach,,Loch Lochy to Loch Laggan,9C,914.6,3001,56.935932,-4.694754,x,
35,Beinn Tulaichean,,Loch Lomond to Strathyre,1C,945.8,3103,56.342234,-4.563315,x,
383,Beinn Udlamain,,Loch Ericht to Glen Tromie & Glen Garry,5A,1010.2,3314,56.835444,-4.329976,x,
345,Ben Alder,,Loch Treig to Loch Ericht,4B,1148,3766,56.813796,-4.465089,x,
536,Ben Avon - Leabaidh an Daimh Bhuidhe,,Cairngorms,8B,1172,3845,57.099347,-3.434438,x,
1,Ben Chonzie,,Loch Tay to Perth,1A,930.4,3052,56.453851,-3.992057,x,
232,Ben Cruachan,,Glen Etive to Glen Lochy,3C,1127,3698,56.426841,-5.131802,x,
1123,Ben Hope,,Durness to Loch Shin,16B,927,3041,58.413113,-4.60786,x,
1165,Ben Klibreck - Meall nan Con,,Altnaharra to Dornoch,16D,962.1,3156,58.235202,-4.41113,x,
141,Ben Lawers,,Glen Lyon to Glen Dochart & Loch Tay,2B,1214,3983,56.544921,-4.220876,x,
32,Ben Lomond,,Loch Lomond to Strathyre,1C,973.7,3195,56.190302,-4.63301,x,
65,Ben Lui,,Inveraray to Crianlarich,1D,1131.4,3712,56.397004,-4.810509,x,
518,Ben Macdui,,Cairngorms,8A,1309.3,4296,57.070368,-3.669099,x,
26,Ben More,,Loch Lomond to Strathyre,1C,1174,3852,56.385952,-4.540087,x,
1301,Ben More,,Mull and Nearby Islands,17E,966,3169,56.424829,-6.013999,x,
1183,Ben More Assynt,,Scourie to Lairg,16E,998.9,3277,58.138164,-4.858208,x,
278,Ben Nevis,,Fort William to Loch Treig & Loch Leven,4A,1344.53,4411,56.796891,-5.003675,x,
67,Ben Oss,,Inveraray to Crianlarich,1D,1029.8,3379,56.389027,-4.775179,,
238,Ben Starav,,Glen Etive to Glen Lochy,3C,1079.5,3542,56.538922,-5.049748,x,
76,Ben Vane,,Inveraray to Crianlarich,1D,915.76,3004,56.249786,-4.781655,x,
17,Ben Vorlich,,Strathyre to Strathallan,1B,985.3,3233,56.34268,-4.219464,x,
71,Ben Vorlich,,Inveraray to Crianlarich,1D,942.8,3093,56.274021,-4.755046,x,
1088,Ben Wyvis - Glas Leathad Mor,,Loch Vaich to Moray Firth,15B,1046,3432,57.678914,-4.57925,x,
191,Bidean nam Bian,,Loch Linnhe to Loch Etive,3B,1149.4,3771,56.642759,-5.029335,x,
898,Bidein a' Choire Sheasgaich,,Kyle of Lochalsh to Garve,12A,945,3100,57.41971,-5.250472,,
320,Binnein Beag,,Fort William to Loch Treig & Loch Leven,4A,943,3094,56.766961,-4.911161,,
287,Binnein Mor,,Fort William to Loch Treig & Loch Leven,4A,1130,3707,56.754376,-4.925796,,
1255,Blabheinn,,Minginish and the Cuillin Hills,17B,928.8,3047,57.219565,-6.09321,x,
519,Braeriach,,Cairngorms,8A,1296,4252,57.078298,-3.728373,x,
470,Broad Cairn,,Braemar to Montrose,7A,998,3274,56.919148,-3.249082,x,
1247,Bruach na Frithe,,Minginish and the Cuillin Hills,17B,958.8,3146,57.246761,-6.210795,x,
209,Buachaille Etive Beag - Stob Coire Raineach,,Loch Linnhe to Loch Etive,3B,924.5,3033,56.649895,-4.951601,x,
202,Buachaille Etive Beag - Stob Dubh,,Loch Linnhe to Loch Etive,3B,958,3143,56.638159,-4.970747,x,
196,Buachaille Etive Mor - Stob Dearg,,Loch Linnhe to Loch Etive,3B,1021.4,3351,56.646228,-4.900377,x,
203,Buachaille Etive Mor - Stob na Broige,,Loch Linnhe to Loch Etive,3B,953.4,3128,56.629879,-4.951162,,
557,Bynack More,,Cairngorms,8A,1090,3576,57.13822,-3.584733,x,
468,Cairn Bannoch,,Braemar to Montrose,7A,1012,3320,56.927728,-3.278403,x,
525,Cairn Gorm,,Cairngorms,8A,1244.8,4084,57.116714,-3.644477,x,
463,Cairn of Claise,,Braemar to Montrose,7A,1063.1,3488,56.894179,-3.338638,x,
521,Cairn Toul,,Cairngorms,8A,1291,4236,57.054406,-3.710757,x,
409,Carn a' Chlamain,,Glen Tromie to Glen Tilt,6A,963.5,3161,56.860965,-3.779634,x,
459,Carn a' Choire Bhoidheach,,Braemar to Montrose,7A,1109.9,3641,56.945773,-3.272707,x,
428,Carn a' Gheoidh,,Pitlochry to Braemar & Blairgowrie,6B,976.1,3202,56.873065,-3.466616,x,
567,Carn a' Mhaim,,Cairngorms,8A,1037,3402,57.036871,-3.658384,x,
408,Carn an Fhidhleir,,Glen Tromie to Glen Tilt,6A,994,3261,56.936029,-3.801535,x,
426,Carn an Righ,,Pitlochry to Braemar & Blairgowrie,6B,1029,3376,56.876583,-3.595273,x,
465,Carn an t-Sagairt Mor,,Braemar to Montrose,7A,1047,3435,56.942973,-3.303227,x,
467,Carn an Tuirc,,Braemar to Montrose,7A,1018.8,3343,56.908265,-3.357125,x,
438,Carn Aosda,,Pitlochry to Braemar & Blairgowrie,6B,915.3,3003,56.895696,-3.423274,x,
432,Carn Bhac,,Pitlochry to Braemar & Blairgowrie,6B,945.1,3101,56.930558,-3.560897,x,
352,Carn Dearg,,Loch Treig to Loch Ericht,4B,1034,3392,56.855242,-4.454693,x,
363,Carn Dearg,,Loch Treig to Loch Ericht,4B,941,3087,56.759922,-4.589888,,
621,Carn Dearg,,Glen Albyn and the Monadh Liath,9B,945.7,3103,57.092261,-4.253246,x,
803,Carn Eighe,,Loch Duich to Cannich,11A,1182.8,3881,57.287701,-5.115159,x,
871,Carn Ghluasaid,,Glen Affric to Glen Moriston,11B,956.3,3137,57.165959,-5.068159,x,
109,Carn Gorm,,Loch Rannoch to Glen Lyon,2A,1029.5,3378,56.622537,-4.226021,x,
668,Carn Liath,,Loch Lochy to Loch Laggan,9C,1006.1,3301,56.978793,-4.515289,x,
107,Carn Mairg,,Loch Rannoch to Glen Lyon,2A,1043,3422,56.634635,-4.145624,x,
282,Carn Mor Dearg,,Fort William to Loch Treig & Loch Leven,4A,1220,4003,56.805246,-4.986616,x,
389,Carn na Caim,,Loch Ericht to Glen Tromie & Glen Garry,5B,940.8,3087,56.911722,-4.174444,x,
895,Carn nan Gobhar,,Kyle of Lochalsh to Garve,12A,992,3255,57.452331,-4.879935,,
936,Carn nan Gobhar,,Killilan to Inverness,12B,992.3,3256,57.363304,-5.024544,,
626,Carn Sgulain,,Glen Albyn and the Monadh Liath,9B,920.3,3019,57.124371,-4.176986,x,
