Identifier,Name,Parent,Area/Region,Section,Metres,Feet,Latitude,Longitude,Ascent,Notes
314,Stob Ban,,Fort William to Loch Treig & Loch Leven,4A,977,3205,56.810656,-4.840877,,
27,Stob Binnein,,Loch Lomond to Strathyre,1C,1165,3822,56.370717,-4.535753,x,
285,Stob Choire Claurigh,,Fort William to Loch Treig & Loch Leven,4A,1177,3862,56.823786,-4.849624,x,
241,Stob Coir' an Albannaich,,Glen Etive to Glen Lochy,3C,1044.9,3428,56.554903,-4.979809,,
313,Stob Coire a' Chairn,,Fort William to Loch Treig & Loch Leven,4A,981.3,3219,56.750756,-4.968985,,
289,Stob Coire an Laoigh,,Fort William to Loch Treig & Loch Leven,4A,1116,3661,56.810877,-4.884907,x,
290,Stob Coire Easain,,Fort William to Loch Treig & Loch Leven,4A,1115,3658,56.818199,-4.77371,x,
194,Stob Coire Sgreamhach,,Loch Linnhe to Loch Etive,3B,1072,3517,56.638314,-5.010284,x,
356,Stob Coire Sgriodain,,Loch Treig to Loch Ericht,4B,979,3212,56.831744,-4.694934,x,
244,Stob Daimh,,Glen Etive to Glen Lochy,3C,999.2,3278,56.431336,-5.091319,x,
237,Stob Ghabhar,,Glen Etive to Glen Lochy,3C,1089.2,3573,56.568103,-4.882099,x,
662,Stob Poite Coire Ardair,,Loch Lochy to Loch Laggan,9C,1052.5,3453,56.964037,-4.585762,x,
18,Stuc a' Chroin,,Strathyre to Strathallan,1B,973,3192,56.329315,-4.237533,x,
120,Stuc an Lochain,,Loch Rannoch to Glen Lyon,2A,960,3150,56.570907,-4.470602,x,
435,The Cairnwell,,Pitlochry to Braemar & Blairgowrie,6B,933,3061,56.87952,-3.421199,x,
575,The Devil's Point,,Cairngorms,8A,1006.9,3303,57.03571,-3.688803,x,
688,The Saddle,,Glen Shiel to Loch Hourn and Loch Quoich,10A,1011.5,3319,57.162395,-5.414721,x,
818,Toll Creagach,,Loch Duich to Cannich,11A,1053.7,3457,57.309228,-4.999937,,
479,Tolmount,,Braemar to Montrose,7A,957.8,3142,56.904724,-3.297946,x,
810,Tom a' Choinnich,,Loch Duich to Cannich,11A,1112.7,3651,57.299545,-5.048945,x,
480,Tom Buidhe,,Braemar to Montrose,7A,957.8,3142,56.893624,-3.292357,x,
